date,Google
2012-04-24,100
2012-04-25,93
2012-04-26,87
2012-04-27,83
2012-04-28,82
2012-04-29,78
2012-04-30,80
2012-05-01,82
2012-05-02,81
2012-05-03,81
2012-05-04,85
2012-05-05,79
2012-05-06,80
2012-05-07,80
2012-05-08,82
2012-05-09,82
2012-05-10,82
2012-05-11,82
2012-05-12,83
2012-05-13,81
2012-05-14,80
2012-05-15,81
2012-05-16,84
2012-05-17,84
2012-05-18,85
2012-05-19,84
2012-05-20,81
2012-05-21,82
2012-05-22,84
2012-05-23,100
2012-05-24,83
2012-05-25,82
2012-05-26,82
2012-05-27,80
2012-05-28,79
2012-05-29,82
2012-05-30,83
2012-05-31,83
2012-06-01,90
2012-06-02,91
2012-06-03,87
2012-06-04,84
2012-06-05,93
2012-06-06,88
2012-06-07,91
2012-06-08,89
2012-06-09,90
2012-06-10,87
2012-06-11,87
2012-06-12,88
2012-06-13,86
2012-06-14,90
2012-06-15,89
2012-06-16,89
2012-06-17,91
2012-06-18,88
2012-06-19,88
2012-06-20,89
2012-06-21,89
2012-06-22,91
2012-06-23,97
2012-06-24,89
2012-06-25,88
2012-06-26,89
2012-06-27,92
2012-06-28,96
2012-06-29,95
2012-06-30,100
2012-07-01,95
2012-07-02,93
2012-07-03,94
2012-07-04,95
2012-07-05,98
2012-07-06,93
2012-07-07,99
2012-07-08,94
2012-07-09,90
2012-07-10,92
2012-07-11,96
2012-07-12,96
2012-07-13,91
2012-07-14,97
2012-07-15,94
2012-07-16,93
2012-07-17,92
2012-07-18,93
2012-07-19,95
2012-07-20,97
2012-07-21,99
2012-07-22,96
2012-07-23,91
2012-07-24,96
2012-07-25,93
2012-07-26,95
2012-07-27,100
2012-07-28,99
2012-07-29,99
2012-07-30,93
2012-07-31,97
2012-08-01,89
2012-08-02,89
2012-08-03,91
2012-08-04,89
2012-08-05,87
2012-08-06,85
2012-08-07,100
2012-08-08,93
2012-08-09,94
2012-08-10,92
2012-08-11,91
2012-08-12,90
2012-08-13,86
2012-08-14,88
2012-08-15,86
2012-08-16,87
2012-08-17,92
2012-08-18,90
2012-08-19,90
2012-08-20,88
2012-08-21,90
2012-08-22,92
2012-08-23,89
2012-08-24,91
2012-08-25,93
2012-08-26,89
2012-08-27,87
2012-08-28,89
2012-08-29,89
2012-08-30,90
2012-08-31,92
2012-09-01,86
2012-09-02,85
2012-09-03,84
2012-09-04,86
2012-09-05,86
2012-09-06,88
2012-09-07,92
2012-09-08,91
2012-09-09,86
2012-09-10,84
2012-09-11,88
2012-09-12,89
2012-09-13,89
2012-09-14,90
2012-09-15,88
2012-09-16,86
2012-09-17,86
2012-09-18,85
2012-09-19,87
2012-09-20,91
2012-09-21,91
2012-09-22,93
2012-09-23,89
2012-09-24,87
2012-09-25,89
2012-09-26,90
2012-09-27,100
2012-09-28,92
2012-09-29,92
2012-09-30,92
2012-10-01,75
2012-10-02,76
2012-10-03,76
2012-10-04,83
2012-10-05,86
2012-10-06,91
2012-10-07,87
2012-10-08,83
2012-10-09,89
2012-10-10,89
2012-10-11,89
2012-10-12,91
2012-10-13,94
2012-10-14,94
2012-10-15,94
2012-10-16,88
2012-10-17,90
2012-10-18,94
2012-10-19,96
2012-10-20,92
2012-10-21,94
2012-10-22,90
2012-10-23,93
2012-10-24,91
2012-10-25,90
2012-10-26,92
2012-10-27,93
2012-10-28,88
2012-10-29,93
2012-10-30,95
2012-10-31,100
2012-11-01,98
2012-11-02,95
2012-11-03,94
2012-11-04,96
2012-11-05,92
2012-11-06,89
2012-11-07,91
2012-11-08,94
2012-11-09,94
2012-11-10,96
2012-11-11,92
2012-11-12,92
2012-11-13,92
2012-11-14,94
2012-11-15,95
2012-11-16,94
2012-11-17,94
2012-11-18,92
2012-11-19,92
2012-11-20,94
2012-11-21,93
2012-11-22,94
2012-11-23,95
2012-11-24,98
2012-11-25,92
2012-11-26,95
2012-11-27,93
2012-11-28,98
2012-11-29,95
2012-11-30,100
2012-12-01,77
2012-12-02,76
2012-12-03,75
2012-12-04,75
2012-12-05,77
2012-12-06,78
2012-12-07,77
2012-12-08,80
2012-12-09,78
2012-12-10,77
2012-12-11,78
2012-12-12,77
2012-12-13,78
2012-12-14,78
2012-12-15,83
2012-12-16,77
2012-12-17,74
2012-12-18,79
2012-12-19,76
2012-12-20,80
2012-12-21,80
2012-12-22,85
2012-12-23,82
2012-12-24,86
2012-12-25,100
2012-12-26,87
2012-12-27,86
2012-12-28,84
2012-12-29,84
2012-12-30,82
2012-12-31,85
2013-01-01,100
2013-01-02,95
2013-01-03,94
2013-01-04,95
2013-01-05,98
2013-01-06,97
2013-01-07,95
2013-01-08,95
2013-01-09,92
2013-01-10,93
2013-01-11,94
2013-01-12,95
2013-01-13,98
2013-01-14,91
2013-01-15,95
2013-01-16,99
2013-01-17,95
2013-01-18,98
2013-01-19,98
2013-01-20,95
2013-01-21,91
2013-01-22,94
2013-01-23,91
2013-01-24,96
2013-01-25,95
2013-01-26,100
2013-01-27,96
2013-01-28,97
2013-01-29,96
2013-01-30,93
2013-01-31,94
2013-02-01,92
2013-02-02,93
2013-02-03,92
2013-02-04,89
2013-02-05,91
2013-02-06,93
2013-02-07,89
2013-02-08,93
2013-02-09,94
2013-02-10,91
2013-02-11,90
2013-02-12,92
2013-02-13,89
2013-02-14,100
2013-02-15,96
2013-02-16,95
2013-02-17,94
2013-02-18,87
2013-02-19,92
2013-02-20,90
2013-02-21,92
2013-02-22,95
2013-02-23,95
2013-02-24,92
2013-02-25,89
2013-02-26,91
2013-02-27,95
2013-02-28,94
2013-03-01,96
2013-03-02,95
2013-03-03,97
2013-03-04,92
2013-03-05,93
2013-03-06,95
2013-03-07,92
2013-03-08,98
2013-03-09,95
2013-03-10,96
2013-03-11,93
2013-03-12,93
2013-03-13,94
2013-03-14,100
2013-03-15,93
2013-03-16,94
2013-03-17,94
2013-03-18,96
2013-03-19,92
2013-03-20,95
2013-03-21,96
2013-03-22,98
2013-03-23,98
2013-03-24,95
2013-03-25,92
2013-03-26,92
2013-03-27,95
2013-03-28,94
2013-03-29,97
2013-03-30,96
2013-03-31,97
2013-04-01,100
2013-04-02,92
2013-04-03,91
2013-04-04,91
2013-04-05,89
2013-04-06,93
2013-04-07,93
2013-04-08,91
2013-04-09,89
2013-04-10,94
2013-04-11,94
2013-04-12,97
2013-04-13,97
2013-04-14,92
2013-04-15,92
2013-04-16,93
2013-04-17,95
2013-04-18,95
2013-04-19,92
2013-04-20,95
2013-04-21,90
2013-04-22,94
2013-04-23,93
2013-04-24,93
2013-04-25,96
2013-04-26,94
2013-04-27,94
2013-04-28,96
2013-04-29,92
2013-04-30,95
2013-05-01,95
2013-05-02,92
2013-05-03,90
2013-05-04,94
2013-05-05,93
2013-05-06,89
2013-05-07,90
2013-05-08,94
2013-05-09,96
2013-05-10,90
2013-05-11,93
2013-05-12,96
2013-05-13,91
2013-05-14,92
2013-05-15,92
2013-05-16,94
2013-05-17,95
2013-05-18,93
2013-05-19,91
2013-05-20,92
2013-05-21,90
2013-05-22,92
2013-05-23,91
2013-05-24,92
2013-05-25,94
2013-05-26,93
2013-05-27,91
2013-05-28,92
2013-05-29,94
2013-05-30,93
2013-05-31,100
2013-06-01,99
2013-06-02,93
2013-06-03,92
2013-06-04,88
2013-06-05,91
2013-06-06,90
2013-06-07,92
2013-06-08,96
2013-06-09,93
2013-06-10,92
2013-06-11,90
2013-06-12,94
2013-06-13,92
2013-06-14,92
2013-06-15,96
2013-06-16,94
2013-06-17,94
2013-06-18,91
2013-06-19,91
2013-06-20,92
2013-06-21,97
2013-06-22,100
2013-06-23,96
2013-06-24,92
2013-06-25,97
2013-06-26,93
2013-06-27,94
2013-06-28,93
2013-06-29,100
2013-06-30,96
2013-07-01,90
2013-07-02,93
2013-07-03,95
2013-07-04,94
2013-07-05,95
2013-07-06,100
2013-07-07,95
2013-07-08,93
2013-07-09,94
2013-07-10,94
2013-07-11,92
2013-07-12,94
2013-07-13,98
2013-07-14,92
2013-07-15,92
2013-07-16,91
2013-07-17,90
2013-07-18,86
2013-07-19,91
2013-07-20,93
2013-07-21,90
2013-07-22,86
2013-07-23,89
2013-07-24,90
2013-07-25,92
2013-07-26,94
2013-07-27,93
2013-07-28,91
2013-07-29,87
2013-07-30,89
2013-07-31,89
2013-08-01,91
2013-08-02,92
2013-08-03,96
2013-08-04,93
2013-08-05,91
2013-08-06,92
2013-08-07,93
2013-08-08,94
2013-08-09,93
2013-08-10,97
2013-08-11,96
2013-08-12,90
2013-08-13,93
2013-08-14,96
2013-08-15,93
2013-08-16,96
2013-08-17,99
2013-08-18,93
2013-08-19,90
2013-08-20,95
2013-08-21,95
2013-08-22,98
2013-08-23,97
2013-08-24,99
2013-08-25,100
2013-08-26,91
2013-08-27,94
2013-08-28,95
2013-08-29,93
2013-08-30,94
2013-08-31,97
2013-09-01,81
2013-09-02,79
2013-09-03,80
2013-09-04,83
2013-09-05,82
2013-09-06,85
2013-09-07,86
2013-09-08,82
2013-09-09,80
2013-09-10,82
2013-09-11,83
2013-09-12,82
2013-09-13,84
2013-09-14,85
2013-09-15,83
2013-09-16,81
2013-09-17,80
2013-09-18,85
2013-09-19,88
2013-09-20,89
2013-09-21,91
2013-09-22,88
2013-09-23,86
2013-09-24,84
2013-09-25,83
2013-09-26,85
2013-09-27,100
2013-09-28,87
2013-09-29,85
2013-09-30,81
2013-10-01,97
2013-10-02,97
2013-10-03,100
2013-10-04,98
2013-10-05,97
2013-10-06,94
2013-10-07,96
2013-10-08,94
2013-10-09,93
2013-10-10,95
2013-10-11,94
2013-10-12,95
2013-10-13,96
2013-10-14,93
2013-10-15,97
2013-10-16,93
2013-10-17,96
2013-10-18,97
2013-10-19,96
2013-10-20,96
2013-10-21,96
2013-10-22,100
2013-10-23,93
2013-10-24,94
2013-10-25,94
2013-10-26,96
2013-10-27,98
2013-10-28,91
2013-10-29,95
2013-10-30,93
2013-10-31,100
2013-11-01,99
2013-11-02,97
2013-11-03,94
2013-11-04,96
2013-11-05,96
2013-11-06,95
2013-11-07,94
2013-11-08,100
2013-11-09,97
2013-11-10,90
2013-11-11,93
2013-11-12,93
2013-11-13,95
2013-11-14,95
2013-11-15,94
2013-11-16,96
2013-11-17,91
2013-11-18,94
2013-11-19,93
2013-11-20,95
2013-11-21,92
2013-11-22,100
2013-11-23,98
2013-11-24,94
2013-11-25,90
2013-11-26,90
2013-11-27,90
2013-11-28,97
2013-11-29,92
2013-11-30,94
2013-12-01,79
2013-12-02,81
2013-12-03,85
2013-12-04,80
2013-12-05,81
2013-12-06,82
2013-12-07,86
2013-12-08,82
2013-12-09,84
2013-12-10,80
2013-12-11,80
2013-12-12,84
2013-12-13,79
2013-12-14,84
2013-12-15,81
2013-12-16,82
2013-12-17,82
2013-12-18,83
2013-12-19,81
2013-12-20,84
2013-12-21,86
2013-12-22,83
2013-12-23,80
2013-12-24,87
2013-12-25,100
2013-12-26,88
2013-12-27,88
2013-12-28,87
2013-12-29,85
2013-12-30,82
2013-12-31,87
2014-01-01,100
2014-01-02,95
2014-01-03,93
2014-01-04,93
2014-01-05,96
2014-01-06,94
2014-01-07,91
2014-01-08,92
2014-01-09,96
2014-01-10,95
2014-01-11,92
2014-01-12,92
2014-01-13,94
2014-01-14,92
2014-01-15,93
2014-01-16,97
2014-01-17,95
2014-01-18,95
2014-01-19,96
2014-01-20,91
2014-01-21,93
2014-01-22,93
2014-01-23,90
2014-01-24,95
2014-01-25,94
2014-01-26,97
2014-01-27,93
2014-01-28,94
2014-01-29,93
2014-01-30,95
2014-01-31,96
2014-02-01,90
2014-02-02,89
2014-02-03,88
2014-02-04,89
2014-02-05,90
2014-02-06,92
2014-02-07,100
2014-02-08,92
2014-02-09,88
2014-02-10,89
2014-02-11,89
2014-02-12,91
2014-02-13,90
2014-02-14,93
2014-02-15,93
2014-02-16,87
2014-02-17,88
2014-02-18,88
2014-02-19,88
2014-02-20,90
2014-02-21,90
2014-02-22,91
2014-02-23,87
2014-02-24,86
2014-02-25,86
2014-02-26,89
2014-02-27,90
2014-02-28,90
2014-03-01,100
2014-03-02,93
2014-03-03,94
2014-03-04,93
2014-03-05,91
2014-03-06,92
2014-03-07,96
2014-03-08,97
2014-03-09,93
2014-03-10,95
2014-03-11,93
2014-03-12,93
2014-03-13,93
2014-03-14,96
2014-03-15,95
2014-03-16,91
2014-03-17,90
2014-03-18,95
2014-03-19,94
2014-03-20,100
2014-03-21,96
2014-03-22,96
2014-03-23,92
2014-03-24,93
2014-03-25,91
2014-03-26,93
2014-03-27,93
2014-03-28,93
2014-03-29,95
2014-03-30,93
2014-03-31,92
2014-04-01,100
2014-04-02,98
2014-04-03,96
2014-04-04,95
2014-04-05,97
2014-04-06,95
2014-04-07,93
2014-04-08,94
2014-04-09,94
2014-04-10,95
2014-04-11,99
2014-04-12,97
2014-04-13,96
2014-04-14,95
2014-04-15,93
2014-04-16,96
2014-04-17,97
2014-04-18,99
2014-04-19,100
2014-04-20,95
2014-04-21,100
2014-04-22,99
2014-04-23,95
2014-04-24,96
2014-04-25,98
2014-04-26,97
2014-04-27,95
2014-04-28,98
2014-04-29,95
2014-04-30,99
2014-05-01,94
2014-05-02,95
2014-05-03,94
2014-05-04,96
2014-05-05,96
2014-05-06,95
2014-05-07,95
2014-05-08,95
2014-05-09,94
2014-05-10,96
2014-05-11,95
2014-05-12,96
2014-05-13,93
2014-05-14,94
2014-05-15,93
2014-05-16,99
2014-05-17,96
2014-05-18,94
2014-05-19,100
2014-05-20,94
2014-05-21,98
2014-05-22,97
2014-05-23,96
2014-05-24,96
2014-05-25,97
2014-05-26,92
2014-05-27,97
2014-05-28,95
2014-05-29,94
2014-05-30,96
2014-05-31,95
2014-06-01,91
2014-06-02,89
2014-06-03,91
2014-06-04,90
2014-06-05,93
2014-06-06,96
2014-06-07,97
2014-06-08,95
2014-06-09,89
2014-06-10,90
2014-06-11,89
2014-06-12,94
2014-06-13,94
2014-06-14,100
2014-06-15,97
2014-06-16,93
2014-06-17,92
2014-06-18,91
2014-06-19,94
2014-06-20,93
2014-06-21,91
2014-06-22,95
2014-06-23,91
2014-06-24,89
2014-06-25,93
2014-06-26,89
2014-06-27,88
2014-06-28,94
2014-06-29,90
2014-06-30,85
2014-07-01,91
2014-07-02,89
2014-07-03,93
2014-07-04,96
2014-07-05,93
2014-07-06,97
2014-07-07,88
2014-07-08,95
2014-07-09,92
2014-07-10,93
2014-07-11,93
2014-07-12,100
2014-07-13,96
2014-07-14,90
2014-07-15,90
2014-07-16,93
2014-07-17,93
2014-07-18,95
2014-07-19,98
2014-07-20,100
2014-07-21,91
2014-07-22,94
2014-07-23,93
2014-07-24,96
2014-07-25,96
2014-07-26,97
2014-07-27,98
2014-07-28,97
2014-07-29,96
2014-07-30,97
2014-07-31,98
2014-08-01,96
2014-08-02,98
2014-08-03,97
2014-08-04,98
2014-08-05,94
2014-08-06,94
2014-08-07,92
2014-08-08,93
2014-08-09,97
2014-08-10,97
2014-08-11,93
2014-08-12,93
2014-08-13,92
2014-08-14,98
2014-08-15,97
2014-08-16,95
2014-08-17,95
2014-08-18,96
2014-08-19,95
2014-08-20,93
2014-08-21,95
2014-08-22,96
2014-08-23,100
2014-08-24,99
2014-08-25,96
2014-08-26,100
2014-08-27,97
2014-08-28,99
2014-08-29,95
2014-08-30,100
2014-08-31,98
2014-09-01,84
2014-09-02,87
2014-09-03,88
2014-09-04,89
2014-09-05,89
2014-09-06,88
2014-09-07,89
2014-09-08,90
2014-09-09,93
2014-09-10,88
2014-09-11,91
2014-09-12,91
2014-09-13,91
2014-09-14,86
2014-09-15,88
2014-09-16,87
2014-09-17,90
2014-09-18,89
2014-09-19,94
2014-09-20,89
2014-09-21,86
2014-09-22,90
2014-09-23,91
2014-09-24,89
2014-09-25,89
2014-09-26,89
2014-09-27,100
2014-09-28,90
2014-09-29,85
2014-09-30,89
2014-10-01,92
2014-10-02,90
2014-10-03,93
2014-10-04,89
2014-10-05,86
2014-10-06,92
2014-10-07,88
2014-10-08,92
2014-10-09,97
2014-10-10,96
2014-10-11,99
2014-10-12,94
2014-10-13,96
2014-10-14,97
2014-10-15,99
2014-10-16,97
2014-10-17,98
2014-10-18,100
2014-10-19,97
2014-10-20,94
2014-10-21,100
2014-10-22,95
2014-10-23,98
2014-10-24,97
2014-10-25,95
2014-10-26,92
2014-10-27,93
2014-10-28,95
2014-10-29,95
2014-10-30,92
2014-10-31,99
2014-11-01,100
2014-11-02,96
2014-11-03,98
2014-11-04,99
2014-11-05,97
2014-11-06,98
2014-11-07,99
2014-11-08,97
2014-11-09,94
2014-11-10,95
2014-11-11,94
2014-11-12,96
2014-11-13,99
2014-11-14,98
2014-11-15,97
2014-11-16,94
2014-11-17,94
2014-11-18,97
2014-11-19,99
2014-11-20,98
2014-11-21,96
2014-11-22,95
2014-11-23,89
2014-11-24,90
2014-11-25,91
2014-11-26,89
2014-11-27,86
2014-11-28,88
2014-11-29,89
2014-11-30,90
2014-12-01,91
2014-12-02,90
2014-12-03,89
2014-12-04,92
2014-12-05,91
2014-12-06,92
2014-12-07,89
2014-12-08,88
2014-12-09,91
2014-12-10,87
2014-12-11,87
2014-12-12,89
2014-12-13,90
2014-12-14,90
2014-12-15,88
2014-12-16,89
2014-12-17,89
2014-12-18,89
2014-12-19,89
2014-12-20,92
2014-12-21,88
2014-12-22,84
2014-12-23,86
2014-12-24,95
2014-12-25,100
2014-12-26,93
2014-12-27,89
2014-12-28,89
2014-12-29,86
2014-12-30,86
2014-12-31,91
2015-01-01,95
2015-01-02,95
2015-01-03,93
2015-01-04,95
2015-01-05,93
2015-01-06,94
2015-01-07,97
2015-01-08,99
2015-01-09,96
2015-01-10,94
2015-01-11,93
2015-01-12,95
2015-01-13,98
2015-01-14,98
2015-01-15,97
2015-01-16,98
2015-01-17,94
2015-01-18,97
2015-01-19,95
2015-01-20,96
2015-01-21,93
2015-01-22,97
2015-01-23,100
2015-01-24,98
2015-01-25,93
2015-01-26,92
2015-01-27,97
2015-01-28,95
2015-01-29,95
2015-01-30,95
2015-01-31,97
2015-02-01,96
2015-02-02,95
2015-02-03,95
2015-02-04,100
2015-02-05,98
2015-02-06,100
2015-02-07,99
2015-02-08,93
2015-02-09,96
2015-02-10,95
2015-02-11,99
2015-02-12,99
2015-02-13,96
2015-02-14,98
2015-02-15,93
2015-02-16,96
2015-02-17,93
2015-02-18,96
2015-02-19,96
2015-02-20,97
2015-02-21,93
2015-02-22,93
2015-02-23,96
2015-02-24,97
2015-02-25,98
2015-02-26,99
2015-02-27,97
2015-02-28,98
2015-03-01,90
2015-03-02,97
2015-03-03,98
2015-03-04,97
2015-03-05,99
2015-03-06,93
2015-03-07,95
2015-03-08,95
2015-03-09,98
2015-03-10,93
2015-03-11,99
2015-03-12,100
2015-03-13,95
2015-03-14,92
2015-03-15,90
2015-03-16,95
2015-03-17,97
2015-03-18,95
2015-03-19,92
2015-03-20,98
2015-03-21,94
2015-03-22,94
2015-03-23,93
2015-03-24,94
2015-03-25,91
2015-03-26,95
2015-03-27,96
2015-03-28,95
2015-03-29,91
2015-03-30,92
2015-03-31,95
2015-04-01,100
2015-04-02,98
2015-04-03,91
2015-04-04,91
2015-04-05,92
2015-04-06,93
2015-04-07,97
2015-04-08,92
2015-04-09,95
2015-04-10,95
2015-04-11,96
2015-04-12,91
2015-04-13,97
2015-04-14,97
2015-04-15,95
2015-04-16,96
2015-04-17,94
2015-04-18,96
2015-04-19,91
2015-04-20,93
2015-04-21,100
2015-04-22,98
2015-04-23,94
2015-04-24,94
2015-04-25,94
2015-04-26,92
2015-04-27,95
2015-04-28,95
2015-04-29,93
2015-04-30,96
2015-05-01,96
2015-05-02,93
2015-05-03,91
2015-05-04,98
2015-05-05,99
2015-05-06,94
2015-05-07,96
2015-05-08,97
2015-05-09,94
2015-05-10,94
2015-05-11,98
2015-05-12,99
2015-05-13,97
2015-05-14,93
2015-05-15,91
2015-05-16,93
2015-05-17,95
2015-05-18,92
2015-05-19,98
2015-05-20,95
2015-05-21,95
2015-05-22,96
2015-05-23,93
2015-05-24,90
2015-05-25,93
2015-05-26,100
2015-05-27,95
2015-05-28,94
2015-05-29,92
2015-05-30,93
2015-05-31,90
2015-06-01,100
2015-06-02,100
2015-06-03,100
2015-06-04,99
2015-06-05,99
2015-06-06,97
2015-06-07,94
2015-06-08,94
2015-06-09,95
2015-06-10,98
2015-06-11,97
2015-06-12,98
2015-06-13,93
2015-06-14,94
2015-06-15,93
2015-06-16,95
2015-06-17,94
2015-06-18,91
2015-06-19,92
2015-06-20,96
2015-06-21,91
2015-06-22,94
2015-06-23,96
2015-06-24,92
2015-06-25,91
2015-06-26,92
2015-06-27,97
2015-06-28,91
2015-06-29,89
2015-06-30,95
2015-07-01,93
2015-07-02,94
2015-07-03,93
2015-07-04,92
2015-07-05,95
2015-07-06,91
2015-07-07,97
2015-07-08,93
2015-07-09,93
2015-07-10,95
2015-07-11,94
2015-07-12,92
2015-07-13,92
2015-07-14,98
2015-07-15,93
2015-07-16,94
2015-07-17,97
2015-07-18,96
2015-07-19,96
2015-07-20,96
2015-07-21,94
2015-07-22,91
2015-07-23,94
2015-07-24,95
2015-07-25,100
2015-07-26,96
2015-07-27,93
2015-07-28,95
2015-07-29,96
2015-07-30,95
2015-07-31,95
2015-08-01,100
2015-08-02,93
2015-08-03,92
2015-08-04,93
2015-08-05,94
2015-08-06,98
2015-08-07,96
2015-08-08,97
2015-08-09,94
2015-08-10,94
2015-08-11,97
2015-08-12,93
2015-08-13,93
2015-08-14,93
2015-08-15,96
2015-08-16,91
2015-08-17,94
2015-08-18,96
2015-08-19,95
2015-08-20,97
2015-08-21,97
2015-08-22,97
2015-08-23,89
2015-08-24,96
2015-08-25,95
2015-08-26,95
2015-08-27,97
2015-08-28,93
2015-08-29,93
2015-08-30,91
2015-08-31,94
2015-09-01,93
2015-09-02,100
2015-09-03,96
2015-09-04,95
2015-09-05,91
2015-09-06,92
2015-09-07,90
2015-09-08,92
2015-09-09,91
2015-09-10,96
2015-09-11,93
2015-09-12,88
2015-09-13,84
2015-09-14,91
2015-09-15,90
2015-09-16,89
2015-09-17,87
2015-09-18,85
2015-09-19,83
2015-09-20,81
2015-09-21,85
2015-09-22,89
2015-09-23,88
2015-09-24,88
2015-09-25,87
2015-09-26,83
2015-09-27,86
2015-09-28,89
2015-09-29,92
2015-09-30,90
2015-10-01,97
2015-10-02,98
2015-10-03,91
2015-10-04,89
2015-10-05,96
2015-10-06,98
2015-10-07,100
2015-10-08,96
2015-10-09,96
2015-10-10,91
2015-10-11,91
2015-10-12,95
2015-10-13,96
2015-10-14,96
2015-10-15,99
2015-10-16,94
2015-10-17,94
2015-10-18,92
2015-10-19,95
2015-10-20,98
2015-10-21,95
2015-10-22,96
2015-10-23,96
2015-10-24,89
2015-10-25,88
2015-10-26,95
2015-10-27,91
2015-10-28,94
2015-10-29,100
2015-10-30,98
2015-10-31,92
2015-11-01,92
2015-11-02,100
2015-11-03,97
2015-11-04,99
2015-11-05,98
2015-11-06,99
2015-11-07,92
2015-11-08,91
2015-11-09,96
2015-11-10,99
2015-11-11,95
2015-11-12,99
2015-11-13,96
2015-11-14,91
2015-11-15,89
2015-11-16,96
2015-11-17,97
2015-11-18,93
2015-11-19,98
2015-11-20,95
2015-11-21,90
2015-11-22,87
2015-11-23,94
2015-11-24,98
2015-11-25,94
2015-11-26,92
2015-11-27,89
2015-11-28,88
2015-11-29,87
2015-11-30,92
2015-12-01,97
2015-12-02,97
2015-12-03,98
2015-12-04,99
2015-12-05,92
2015-12-06,91
2015-12-07,95
2015-12-08,95
2015-12-09,98
2015-12-10,100
2015-12-11,95
2015-12-12,94
2015-12-13,91
2015-12-14,96
2015-12-15,92
2015-12-16,92
2015-12-17,98
2015-12-18,95
2015-12-19,91
2015-12-20,86
2015-12-21,87
2015-12-22,89
2015-12-23,91
2015-12-24,92
2015-12-25,95
2015-12-26,91
2015-12-27,86
2015-12-28,87
2015-12-29,88
2015-12-30,88
2015-12-31,95
2016-01-01,91
2016-01-02,89
2016-01-03,88
2016-01-04,96
2016-01-05,100
2016-01-06,98
2016-01-07,96
2016-01-08,93
2016-01-09,93
2016-01-10,85
2016-01-11,96
2016-01-12,100
2016-01-13,98
2016-01-14,97
2016-01-15,97
2016-01-16,90
2016-01-17,88
2016-01-18,95
2016-01-19,97
2016-01-20,96
2016-01-21,98
2016-01-22,98
2016-01-23,91
2016-01-24,88
2016-01-25,95
2016-01-26,98
2016-01-27,95
2016-01-28,99
2016-01-29,96
2016-01-30,89
2016-01-31,87
2016-02-01,97
2016-02-02,97
2016-02-03,100
2016-02-04,97
2016-02-05,97
2016-02-06,90
2016-02-07,87
2016-02-08,90
2016-02-09,99
2016-02-10,95
2016-02-11,98
2016-02-12,97
2016-02-13,87
2016-02-14,88
2016-02-15,92
2016-02-16,95
2016-02-17,97
2016-02-18,96
2016-02-19,97
2016-02-20,91
2016-02-21,90
2016-02-22,95
2016-02-23,96
2016-02-24,96
2016-02-25,97
2016-02-26,97
2016-02-27,88
2016-02-28,89
2016-02-29,98
2016-03-01,95
2016-03-02,95
2016-03-03,97
2016-03-04,96
2016-03-05,87
2016-03-06,88
2016-03-07,97
2016-03-08,100
2016-03-09,100
2016-03-10,97
2016-03-11,93
2016-03-12,90
2016-03-13,86
2016-03-14,93
2016-03-15,96
2016-03-16,96
2016-03-17,95
2016-03-18,91
2016-03-19,91
2016-03-20,84
2016-03-21,94
2016-03-22,91
2016-03-23,93
2016-03-24,91
2016-03-25,87
2016-03-26,85
2016-03-27,86
2016-03-28,93
2016-03-29,91
2016-03-30,92
2016-03-31,93
2016-04-01,97
2016-04-02,90
